map,algorithm,cost_type,cost_limit,seed,status,wandb_link,slurm_job_id,score,cost,winrate,metric_step,notes
MMM,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_MMM_s1_date05-01-hr17-35-15_17289244_feat-lag-real-episod,17289244,,,,100000,
MMM,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_MMM_s2_date05-01-hr17-35-15_17289245_feat-lag-real-episod,17289245,,,,100000,
MMM,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_MMM_s3_date05-01-hr17-35-18_17289246_feat-lag-real-episod,17289246,,,,100000,
MMM,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_MMM_1_time_20260501_173545,17289253,,,,100000,
MMM,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_MMM_2_time_20260501_173548,17289254,,,,100000,
MMM,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_MMM_3_time_20260501_173548,17289255,,,,100000,
3s5z_vs_3s6z,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s1_date05-01-hr17-35-26_17289247_feat-lag-real-episod,17289247,,,,100000,
3s5z_vs_3s6z,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s2_date05-01-hr17-35-25_17289248_feat-lag-real-episod,17289248,,,,100000,
3s5z_vs_3s6z,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s3_date05-01-hr17-35-25_17289249_feat-lag-real-episod,17289249,,,,100000,
3s5z_vs_3s6z,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s5z_vs_3s6z_1_time_20260501_173547,17289256,,,,100000,
3s5z_vs_3s6z,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s5z_vs_3s6z_2_time_20260501_173550,17289257,,,,100000,
3s5z_vs_3s6z,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s5z_vs_3s6z_3_time_20260501_173552,17289258,,,,100000,
bane_vs_bane,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_bane_vs_bane_s1_date05-01-hr17-35-27_17289250_feat-lag-real-episod,17289250,,,,100000,
bane_vs_bane,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_bane_vs_bane_s2_date05-01-hr17-35-27_17289251_feat-lag-real-episod,17289251,,,,100000,
bane_vs_bane,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_bane_vs_bane_s3_date05-01-hr17-35-30_17289252_feat-lag-real-episod,17289252,,,,100000,
bane_vs_bane,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_bane_vs_bane_1_time_20260501_173555,17289259,,,,100000,
bane_vs_bane,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_bane_vs_bane_2_time_20260501_173557,17289260,,,,100000,
bane_vs_bane,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_bane_vs_bane_3_time_20260501_173600,17289261,,,,100000,
